Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State,Likes,Rating
Wakefield,40.894705176609996,-73.84720052054901,The Upper Room,4f57ef61e4b063a4ab675858,Music Venue,40.892567,-73.846406,,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,Dyme Life Radio,4da63d645da3e8486b80546f,Music Venue,40.894541333333336,-73.84326600000001,Bronx,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,Par-City,4d23aea014f2b1f7740f68be,Music Venue,40.89021141,-73.84700158,Bronx,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,MY Studio,4e9cb64c49017c00c840e759,Music Venue,40.901926,-73.853504,,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,Major League Music Group,4ee0764f0aafbb3dbab41e92,Music Venue,40.891366689175385,-73.85008751159359,,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,Wreckhouse,4d82dc4f8de9721e671f1151,Music Venue,40.898509567633404,-73.85535605954809,Bronx,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,Matic Records,4efb879502d5a2b50e03c616,Music Venue,40.899773517240966,-73.85714069379077,Bronx,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,Oasis HQ NightClub,5066b2d7e4b073ee75be2315,Nightclub,40.89192,-73.85848399999998,Bronx,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,Karma Lounge,4f349355e4b0debe1e3c6118,Nightclub,40.901605,-73.85072,Bronx,NY,1,N/A
Wakefield,40.894705176609996,-73.84720052054901,Emma C. Brisbane Youth Leadership Center,519beb25498eb0c55bccdd53,Lounge,40.88792277876211,-73.85368838260857,Bronx,NY,0,N/A
Wakefield,40.894705176609996,-73.84720052054901,Wenbley Lounge,4f9339c7e4b0532d5da3d0ab,Lounge,40.897526,-73.859468,Bronx,NY,0,N/A
Co-op City,40.87429419303012,-73.829939108124,Dreiser Auditorium,561175b5498ea48f07080f55,Jazz Club,40.87638087291421,-73.82909547946035,Bronx,NY,0,N/A
Co-op City,40.87429419303012,-73.829939108124,Blok Work Studio,4b809653f964a520037f30e3,Music Venue,40.881772739912755,-73.82673596188631,Bronx,NY,0,N/A
Co-op City,40.87429419303012,-73.829939108124,Damatrixstudios,4e97653c775be791ae1e9d01,Music Venue,40.87117330237115,-73.83684592174664,Bronx,NY,3,N/A
Co-op City,40.87429419303012,-73.829939108124,The Garage,4eaccfbc775bad292f2d50a5,Nightclub,40.882164671978714,-73.82759319234759,Bronx,NY,10,6.7
