Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
Fieldston,40.89543742690383,-73.90564259591682,Russian Mission Residential Bar,566a3848498e239a0d06e1a6,Bar,40.90283966064453,-73.9024887084961,New York,NY
Fieldston,40.89543742690383,-73.90564259591682,крыша русских в Нью Йорке,5792e698498e3514faef5635,Lounge,40.890147,-73.898519,New York,NY
Fieldston,40.89543742690383,-73.90564259591682,Frankie's TAVERN,576e390d498e5c4438bfcb83,Pub,40.905235,-73.90119,New York,NY
Kingsbridge,40.88168737120521,-73.90281798724604,The Bronx Public,59b17fe23b4e0043787e1a7c,Pub,40.87837659295958,-73.90348117090952,New York,NY
Kingsbridge,40.88168737120521,-73.90281798724604,Keenan's,548e0d51498e6561895f6db5,Bar,40.87920843540575,-73.90456714524868,New York,NY
Kingsbridge,40.88168737120521,-73.90281798724604,крыша русских в Нью Йорке,5792e698498e3514faef5635,Lounge,40.890147,-73.898519,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,Villa Lobos,4e583503fa76435f0bdac572,Music Venue,40.87570701775556,-73.90960539082762,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,Indian Road Café,49caa774f964a520d1581fe3,Café,40.87292174447656,-73.91845881138549,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,The Bronx Public,59b17fe23b4e0043787e1a7c,Pub,40.87837659295958,-73.90348117090952,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,Keenan's,548e0d51498e6561895f6db5,Bar,40.87920843540575,-73.90456714524868,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,Playroom Lounge,5a8cb2353abcaf25dc4f9210,Nightclub,40.86739166122563,-73.91706168651581,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,Beer Pong Central,4f52d18be4b0754d58154155,Bar,40.86844828995615,-73.91790142701824,New York,NY
Marble Hill,40.87655077879964,-73.91065965862981,Hermandad Quisqueyana,5068de49e4b08d6e202c0363,Sports Bar,40.867047,-73.917199,New York,NY
